sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-DM-A280-01	TCGA-DM-A280-01	10.42	12.42	11.21	11.55	10.92	11.37	12.27	Primary Tumor
TCGA-AD-5900-01	TCGA-AD-5900-01	10.42	12.34	10.52	11.5	10.98	11.23	11.83	Primary Tumor
TCGA-CA-6718-01	TCGA-CA-6718-01	10.42	12.13	9.934	11.71	10.48	11.22	11.85	Primary Tumor
TCGA-A6-6138-01	TCGA-A6-6138-01	10.42	11.79	10.51	11.96	11.51	11.25	12.01	Primary Tumor
TCGA-G4-6303-01	TCGA-G4-6303-01	10.41	12.34	11.13	11.7	11.03	11.27	11.17	Primary Tumor
TCGA-D5-6932-01	TCGA-D5-6932-01	10.4	12.69	10.03	11.77	11.53	10.91	11.82	Primary Tumor
TCGA-AA-A01P-01	TCGA-AA-A01P-01	10.4	12.65	10.78	11.77	10.97	11.56	12.14	Primary Tumor
TCGA-AZ-6599-11	TCGA-AZ-6599-11	10.39	12.33	11.82	11.63	11.28	11.7	11.81	Solid Tissue Normal
TCGA-DM-A1D8-01	TCGA-DM-A1D8-01	10.39	12.12	10.44	10.71	11.41	10.81	11.6	Primary Tumor
TCGA-AA-3511-01	TCGA-AA-3511-01	10.38	12.42	11.15	11.68	12.17	11.19	12.1	Primary Tumor
TCGA-AD-6964-01	TCGA-AD-6964-01	10.37	12.1	10.15	11.98	11.12	10.91	11.64	Primary Tumor
TCGA-CK-5912-01	TCGA-CK-5912-01	10.36	11.84	11.41	11.38	11.37	11.77	12.3	Primary Tumor
TCGA-G4-6295-01	TCGA-G4-6295-01	10.35	12.43	10.68	11.49	11.88	11.36	11.46	Primary Tumor
TCGA-D5-6927-01	TCGA-D5-6927-01	10.34	12.67	10.29	11.71	11.04	10.98	11.82	Primary Tumor
TCGA-A6-6140-01	TCGA-A6-6140-01	10.34	12.55	11.59	11.69	12.35	10.94	11.76	Primary Tumor
TCGA-CA-6715-01	TCGA-CA-6715-01	10.34	12.07	10.54	12.08	11.8	11	11.75	Primary Tumor
