sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-CD-A486-01	TCGA-CD-A486-01	10.5	11.48	9.993	11.46	12.21	10.81	11.3	Primary Tumor
TCGA-BR-4361-01	TCGA-BR-4361-01	10.5	10.86	11.14	11.28	10.87	12.01	12.6	Primary Tumor
TCGA-VQ-A8PQ-01	TCGA-VQ-A8PQ-01	10.5	10.81	10.74	11.34	11.3	10.68	11.2	Primary Tumor
TCGA-BR-8366-01	TCGA-BR-8366-01	10.47	12.04	11.21	11.65	11.51	11.44	12.19	Primary Tumor
TCGA-HU-A4H2-01	TCGA-HU-A4H2-01	10.47	11.29	10.49	11.15	12.45	10.93	11.39	Primary Tumor
TCGA-CG-4465-01	TCGA-CG-4465-01	10.45	11.49	10.65	11.44	10.89	12.4	12.56	Primary Tumor
TCGA-D7-A4YV-01	TCGA-D7-A4YV-01	10.44	11.07	11.46	10.93	11.58	11.92	11.18	Primary Tumor
TCGA-BR-7716-01	TCGA-BR-7716-01	10.43	11.99	10.85	12.01	13.35	10.67	11.92	Primary Tumor
TCGA-BR-8686-01	TCGA-BR-8686-01	10.43	11.65	10.53	11.5	12.45	11.42	10.8	Primary Tumor
TCGA-HF-7133-01	TCGA-HF-7133-01	10.41	12.84	11	12.16	11.93	11.26	11.48	Primary Tumor
TCGA-B7-A5TJ-01	TCGA-B7-A5TJ-01	10.41	12	11.41	10.68	12.04	11.62	11.25	Primary Tumor
TCGA-VQ-A8PK-01	TCGA-VQ-A8PK-01	10.4	11.4	10.41	10.84	12.28	12.94	11.82	Primary Tumor
TCGA-CG-4442-01	TCGA-CG-4442-01	10.38	12.02	11.46	11.19	10.67	12.3	12.51	Primary Tumor
TCGA-HF-7132-01	TCGA-HF-7132-01	10.38	11.63	10.97	11.8	11.52	11.15	11.77	Primary Tumor
TCGA-CD-8535-01	TCGA-CD-8535-01	10.38	11.56	11.09	10.88	10.99	10.54	11.33	Primary Tumor
TCGA-CD-5799-01	TCGA-CD-5799-01	10.37	13.49	10.74	11.56	12.19	11.2	11.79	Primary Tumor
TCGA-CD-A487-01	TCGA-CD-A487-01	10.37	11.59	10.68	10.65	11.41	11.78	11.7	Primary Tumor
TCGA-BR-A4J8-01	TCGA-BR-A4J8-01	10.37	11.09	11.62	10.62	12.22	10.25	11.59	Primary Tumor
TCGA-D7-8573-01	TCGA-D7-8573-01	10.36	11.89	11.22	11.79	12.55	11.9	11.41	Primary Tumor
TCGA-BR-6458-01	TCGA-BR-6458-01	10.36	11.78	10.57	11.33	11.97	11.48	12.66	Primary Tumor
